,edit_history_tweet_ids,id,text,withheld
127,['1602029059168509952'],1602029059168509952,"Loved these donuts from Donut Friend in LA

https://t.co/EvrSTBn9eg https://t.co/kw281iHz43",
128,['1601365112333340678'],1601365112333340678,"@GravesFPS @burgerlords @DonutFriend Haven’t been to Cena or Monty’s, but Donut Friend was stop number 2 😊 https://t.co/cdFlyqBDwK",
129,['1601310530320232449'],1601310530320232449,belasco is the best venue solely due to its close proximity to donut friend,
130,['1601310394626121728'],1601310394626121728,man can’t wait to get donut friend before and after both days of ftc,
131,['1601305363420045312'],1601305363420045312,"@naiadreticent that cone looks almost too good to use but that would make me want to use it

either that or the donut friend on the right",
132,['1601103364351176705'],1601103364351176705,@whiteIeathcr donut friend…… or emo coffee to start my birthday would be tight.,
133,['1601062026700558337'],1601062026700558337,@TedBrogan5 @SnackMyFridgeUp @chopchopjerry can second donut friend,
134,['1601059977728184320'],1601059977728184320,@TedBrogan5 @chopchopjerry Donut Friend is Highland Park but otherwise yes,
135,['1601058838001909760'],1601058838001909760,"@TedBrogan5 @chopchopjerry - Breakfast burrito from Lucky Boy
- Donuts from Donut Friend
- Pie Life Pizza
- Rocco’s Tavern
- Kings Row or Congregation are fun bars with food options",
136,['1600651350924095489'],1600651350924095489,"LA Vegan food stop number 2
Donut Friend @DonutFriend #vegan https://t.co/0Yb8YWRbg9",
137,['1602750804414193665'],1602750804414193665,"@gorohakechi Theres this ayce place near oakobing call juuku jjuju, its legit my fav ayce place in la cuz their marinated beef finger ribs are INSANELY GOOD. Its on the pricier end for ayce but the quality is top notch",
138,['1602511658819063808'],1602511658819063808,Thank you @DisneyPlus for having me visit LA Local restaurants for some special holiday treats at Monty’s &amp; Oakobing! https://t.co/swMequqBqi,
139,['1601415831216394241'],1601415831216394241,"Thanks @Tastemade! Most delicious collab ever! @disneyplus @oakobing #GuardiansOfTheGalaxyHolidaySpecial #disneyplus #oakobing (@ Oakobing in Los Angeles, CA) https://t.co/7o1OAvZUNz https://t.co/xPNRY53BIa",
140,['1603151442839498752'],1603151442839498752,@ztele85 I also have pretty good bags under eyes. Looks like someone smacked me right on the pie hole with mailed fist. That’s what working night for years does to you.,
141,['1603135964326629378'],1603135964326629378,@robreiner But it’s enough of importance that you had to comment about … shut the pie hole meathead,
142,['1603065622417772545'],1603065622417772545,"@LaurenH06773332 @CPD1617Scanner Do you better/different information you wanna share? If not, shut the pie hole.",
143,['1603038922577264640'],1603038922577264640,@DGComedy Cherr-kootereéé looks delish! Gonna skip the ritz and spray direct into the pie hole!,
144,['1602994600825671680'],1602994600825671680,@laurenboebert From the pie hole of a self-confessed “lesser vessel” https://t.co/J58tRw60DW,
145,['1602979211043835904'],1602979211043835904,"@ScottAdamsSays The turds that spurt from the pie hole of a lefty always seem to include ""destroy democracy"" ... along with these other standard playbook items:
- hater
- homophobe
- racist
- fascist",
146,['1602866223255289856'],1602866223255289856,@catturd2 Shut the pie hole a**hole,
147,['1602834791879131138'],1602834791879131138,"@ProjectLincoln Stink’n project. Pay yer taxes, and close the pie hole.",
148,['1602829568360218624'],1602829568360218624,"@IamJackBoot Local baker is called ""The Pie Hole"" and they are worth visiting before they shut every day.",
149,['1602723148176453632'],1602723148176453632,"@HedgeyeREITs Don’t know what’s up with this cat, but I came in net short today in the portfolio and now sit at +558 bps. Thanks to Coach Mucker I remained calm this morning and executed. Much better than taking a puck in the pie hole like I used to on days like this.",
150,['1602715728473657344'],1602715728473657344,"@parismarx How many billion did you donate in your lifetime? Ok, so shut the pie hole",
151,['1602691897645928448'],1602691897645928448,"RT @colbra801: RIP Coach ❤️
I’ll never forget sitting in the Pie Hole when you and your grandkids walked in. Rather than being disgruntled…",
152,['1602687852315385856'],1602687852315385856,"RIP Coach ❤️
I’ll never forget sitting in the Pie Hole when you and your grandkids walked in. Rather than being disgruntled for approaching, you talked with us for 20 minutes plus like old friends. Thank you for your kindness, authenticity and one of a kind sense of humor. https://t.co/BJ6QEN58GM",
153,['1602652712390246401'],1602652712390246401,It’s a PB muffin to the pie hole morning https://t.co/gPpNxhRjtL,
154,['1602619911804784641'],1602619911804784641,@dananessel Some times it is best to keep the pie hole shut.    Now is THAT time.,
155,['1602468000795590656'],1602468000795590656,"@ThisIsKyleR Go away, shut the pie hole, do something honest and meaningful with your life.",
156,['1602439104456757248'],1602439104456757248,"@EdwardMurrow666 She’s going to talk herself into an indictment, I hope. #MoscowMarjorie doesn’t know when to keep the pie hole shut",
157,['1602438091980959745'],1602438091980959745,into the pie hole you go.,
158,['1602436042782646273'],1602436042782646273,@RpsAgainstTrump Running off the the pie hole is costly.,
159,['1602383485867524114'],1602383485867524114,@JacquotLeGrand @charlesadler @JustinTrudeau Worry about yourself- and shit the pie hole- interesting how outsiders chime in when a province outside of Quebec wants more out of Canada instead of just footing the bills. Seems like a worried mentality coming from you,
160,['1602374956821925890'],1602374956821925890,@SparkyGriswald3 @deaflibertarian Fella you might want to clam up the pie hole.,
161,['1602363294442205184'],1602363294442205184,@RepMTG This crazyass QAnon shit would be hilarious were it not emanating from the pie hole of a sitting United States Congressperson. It is shocking and disgraceful that such a person holds such a position.,
162,['1602356973340884993'],1602356973340884993,@joncoopertweets You knew he was gonna smash Fauchi in the pie hole??,
163,['1602327422656995328'],1602327422656995328,@GeorgeTakei Please close the pie hole. It's embarrassing.,
164,['1602320048777228288'],1602320048777228288,"@RachelNotley Rachel tell us all what to f..k the NDP has done to assist the flu season in Alberta this winter other than piss and whine , you love whining but but not a single solution other that rhetoric , shut the pie hole for a while",
165,['1602314509817090048'],1602314509817090048,"@eexxohh @KozeraMatt @CCFR_CCDAF @JustinTrudeau When to hell will you people understand ... full auto is banned since 1978, 50 cal is banned, AR15 is already banned in Canada. So educate yourself or just ... shut the pie hole.",
166,['1602306202947526656'],1602306202947526656,@15poundstogo If this was all ANTI TRUMP these buffoons would be rabid foaming at the pie hole raging for blood n guts right now FACT CHECK 💯 TRUTH,
167,['1602302406770966528'],1602302406770966528,"@JoJoFromJerz Sure you do, just like all the “Followers, who are so gullible”” they can’t think for themselves just like you!!!! You believe anything anyone tells you IF  comes from the pie hole of a LIBERAL!!!!",
